,date_read,publish_date,outlet,url,title,start_time,end_time,reading_time
48,2020-07-18,2020-07-17 00:00:00,theprogress,https://www.theprogress.com/news/bc-liberals-barred-from-vancouver-pride-parade-if-chilliwack-kent-mla-isnt-ousted/,BC Liberals barred from Vancouver Pride Parade if Chilliwack-Kent MLA isn’t ousted – Chilliwack Progress,00:00:00,00:04:11,251.0
49,2020-07-18,2020-07-17 00:00:00,ctvnews,https://northernontario.ctvnews.ca/kirkland-lake-teen-caught-driving-twice-the-speed-limit-charged-with-stunt-driving-1.5028529,"Kirkland Lake teen caught driving twice the speed limit, charged with stunt driving",00:00:00,00:07:27,447.0
50,2020-07-19,2020-07-16 00:00:00,ctvnews,https://bc.ctvnews.ca/canada-day-lotto-winner-says-he-s-been-buying-tickets-since-he-immigrated-26-years-ago-1.5027606,Canada Day lotto winner says he's been buying tickets since he immigrated 26 years ago,00:00:00,00:06:59,419.0
51,2020-07-19,2020-07-14 00:00:00,torontosun,https://torontosun.com/news/weird/florida-man-is-the-new-hellboy-after-crazy-tan-goes-viral,Badly-sunburned Florida swimmer in viral video dubbed 'Hellboy',00:00:00,00:02:52,172.0
52,2020-07-19,2020-07-17 00:00:00,mapleridgenews,https://www.mapleridgenews.com/sports/ontario-says-blue-jays-cleared-to-play-at-home-but-final-decision-lies-with-feds/,"Ontario says Blue Jays cleared to play at home, but final decision lies with feds – Maple Ridge News",00:00:00,00:09:01,541.0
53,2020-07-19,2020-07-15 00:00:00,ctvnews,https://www.ctvnews.ca/autos/europe-s-shift-to-electric-cars-picks-up-despite-recession-1.5024832,Europe's shift to electric cars picks up despite recession,00:00:00,00:07:52,472.0
54,2020-07-19,2020-07-16 00:00:00,torontosun,https://driving.ca/ford/features/feature-story/how-the-numbers-stack-up-between-the-2021-ford-bronco-and-jeep-wrangler/,How the numbers stack up between the 2021 Ford Bronco and Jeep Wrangler,00:00:00,00:05:43,343.0
55,2020-07-19,2020-07-15 00:00:00,ctvnews,http://regina.ctvnews.ca/sask-entomologist-warns-gardeners-to-watch-for-red-lily-leaf-beetle-1.5025795,Sask. entomologist warns gardeners to watch for Red Lily Leaf Beetle,00:00:00,00:08:30,510.0
56,2020-07-19,2020-07-17 00:00:00,torontosun,https://torontosun.com/sports/soccer/mls/toronto-fc/ayo-a-ok-as-toronto-fc-wears-down-impact-in-wild-shootout,Ayo A-OK as Toronto FC wears down Impact in wild shootout,00:00:00,00:09:25,565.0
57,2020-07-19,2020-07-17 00:00:00,torontosun,https://driving.ca/tesla/features/feature-story/motor-mouth-the-truth-about-teslas-autopilot-claims/,Motor Mouth: The truth about Tesla's Autopilot claims,00:00:00,00:06:50,410.0
58,2020-07-19,2020-07-17 00:00:00,thestar,https://www.thestar.com/entertainment/books/2020/07/17/toronto-star-bestsellers-for-the-week-ending-july-15-2020.html,"Toronto Star bestsellers for the week ending July 15, 2020",00:00:00,00:08:44,524.0
59,2020-07-19,2020-07-17 00:00:00,cp24,https://www.cp24.com/world/pandemic-becomes-politically-fraught-for-florida-governor-1.5028764,Pandemic becomes politically fraught for Florida governor,00:00:00,00:04:23,263.0
